year,avg_temp,6-Year MA,,year,avg_temp,6-Year MA
1848,24.56,#N/A,,1848,7.98,#N/A
1849,24.8,#N/A,,1849,7.98,#N/A
1850,24.34,#N/A,,1850,7.9,#N/A
1851,25.03,#N/A,,1851,8.18,#N/A
1852,24.85,#N/A,,1852,8.1,#N/A
1853,24.93,24.75166667,,1853,8.04,8.03
1854,24.72,24.77833333,,1854,8.21,8.068333333
1855,24.92,24.79833333,,1855,8.11,8.09
1856,24.57,24.83666667,,1856,8,8.106666667
1857,24.26,24.70833333,,1857,7.76,8.036666667
1858,25.01,24.735,,1858,8.1,8.036666667
1859,24.95,24.73833333,,1859,8.25,8.071666667
1860,24.94,24.775,,1860,7.96,8.03
1861,24.13,24.64333333,,1861,7.85,7.986666667
1862,23.77,24.51,,1862,7.56,7.913333333
1863,24.28,24.51333333,,1863,8.11,7.971666667
1864,25.03,24.51666667,,1864,7.98,7.951666667
1865,25.23,24.56333333,,1865,8.18,7.94
1866,24.92,24.56,,1866,8.29,7.995
1867,25.22,24.74166667,,1867,8.44,8.093333333
1868,25,24.94666667,,1868,8.25,8.208333333
1869,25.3,25.11666667,,1869,8.43,8.261666667
1870,25.02,25.115,,1870,8.2,8.298333333
1871,24.73,25.03166667,,1871,8.12,8.288333333
1872,24.87,25.02333333,,1872,8.19,8.271666667
1873,25.24,25.02666667,,1873,8.35,8.256666667
1874,24.98,25.02333333,,1874,8.43,8.286666667
1875,24.43,24.87833333,,1875,7.86,8.191666667
1876,24.89,24.85666667,,1876,8.08,8.171666667
1877,25.47,24.98,,1877,8.54,8.241666667
1878,25.51,25.08666667,,1878,8.83,8.348333333
1879,25.24,25.08666667,,1879,8.17,8.318333333
1880,24.8,25.05666667,,1880,8.12,8.266666667
1881,25.63,25.25666667,,1881,8.27,8.335
1882,24.66,25.21833333,,1882,8.13,8.343333333
1883,25.19,25.17166667,,1883,7.98,8.25
1884,24.8,25.05333333,,1884,7.77,8.073333333
1885,24.98,25.01,,1885,7.92,8.031666667
1886,24.98,25.04,,1886,7.95,8.003333333
1887,24.81,24.90333333,,1887,7.91,7.943333333
1888,25.13,24.98166667,,1888,8.09,7.936666667
1889,25.52,25.03666667,,1889,8.32,7.993333333
1890,25.07,25.08166667,,1890,7.97,8.026666667
1891,25.39,25.15,,1891,8.02,8.043333333
1892,25.22,25.19,,1892,8.07,8.063333333
1893,25.19,25.25333333,,1893,8.06,8.088333333
1894,24.66,25.175,,1894,8.16,8.1
1895,24.69,25.03666667,,1895,8.15,8.071666667
1896,24.88,25.005,,1896,8.21,8.111666667
1897,24.86,24.91666667,,1897,8.29,8.156666667
1898,24.88,24.86,,1898,8.18,8.175
1899,25.12,24.84833333,,1899,8.4,8.231666667
1900,25.29,24.95333333,,1900,8.5,8.288333333
1901,25.55,25.09666667,,1901,8.54,8.353333333
1902,25.25,25.15833333,,1902,8.3,8.368333333
1903,24.64,25.12166667,,1903,8.22,8.356666667
1904,25.07,25.15333333,,1904,8.09,8.341666667
1905,24.87,25.11166667,,1905,8.23,8.313333333
1906,24.85,25.03833333,,1906,8.38,8.293333333
1907,24.44,24.85333333,,1907,7.95,8.195
1908,24.95,24.80333333,,1908,8.19,8.176666667
1909,25.57,24.95833333,,1909,8.18,8.17
1910,24.75,24.905,,1910,8.22,8.191666667
1911,24.24,24.8,,1911,8.18,8.183333333
1912,24.96,24.81833333,,1912,8.17,8.148333333
1913,24.63,24.85,,1913,8.3,8.206666667
1914,24.94,24.84833333,,1914,8.59,8.273333333
1915,25.38,24.81666667,,1915,8.59,8.341666667
1916,24.85,24.83333333,,1916,8.23,8.343333333
1917,25.03,24.965,,1917,8.02,8.316666667
1918,24.66,24.915,,1918,8.13,8.31
1919,25.39,25.04166667,,1919,8.38,8.323333333
1920,24.94,25.04166667,,1920,8.36,8.285
1921,24.84,24.95166667,,1921,8.57,8.281666667
1922,25.35,25.035,,1922,8.41,8.311666667
1923,25.1,25.04666667,,1923,8.42,8.378333333
1924,25.69,25.21833333,,1924,8.51,8.441666667
1925,25,25.15333333,,1925,8.53,8.466666667
1926,25.19,25.195,,1926,8.73,8.528333333
1927,25.29,25.27,,1927,8.52,8.52
1928,25.39,25.27666667,,1928,8.63,8.556666667
1929,25.36,25.32,,1929,8.24,8.526666667
1930,25.39,25.27,,1930,8.63,8.546666667
1931,25.38,25.33333333,,1931,8.72,8.578333333
1932,24.96,25.295,,1932,8.71,8.575
1933,24.67,25.19166667,,1933,8.34,8.545
1934,24.97,25.12166667,,1934,8.63,8.545
1935,25.61,25.16333333,,1935,8.52,8.591666667
1936,25.15,25.12333333,,1936,8.55,8.578333333
1937,25.08,25.07333333,,1937,8.7,8.575
1938,25.11,25.09833333,,1938,8.86,8.6
1939,25.16,25.18,,1939,8.76,8.67
1940,25.51,25.27,,1940,8.76,8.691666667
1941,25.37,25.23,,1941,8.77,8.733333333
1942,25.49,25.28666667,,1942,8.73,8.763333333
1943,24.96,25.26666667,,1943,8.76,8.773333333
1944,25.6,25.34833333,,1944,8.85,8.771666667
1945,25.3,25.37166667,,1945,8.58,8.741666667
1946,25.49,25.36833333,,1946,8.68,8.728333333
1947,26,25.47333333,,1947,8.8,8.733333333
1948,24.85,25.36666667,,1948,8.75,8.736666667
1949,24.82,25.34333333,,1949,8.59,8.708333333
1950,24.98,25.24,,1950,8.37,8.628333333
1951,26.1,25.37333333,,1951,8.63,8.636666667
1952,25.72,25.41166667,,1952,8.64,8.63
1953,25.51,25.33,,1953,8.87,8.641666667
1954,25.8,25.48833333,,1954,8.56,8.61
1955,25.33,25.57333333,,1955,8.63,8.616666667
1956,25.02,25.58,,1956,8.28,8.601666667
1957,24.69,25.345,,1957,8.73,8.618333333
1958,25.64,25.33166667,,1958,8.77,8.64
1959,24.14,25.10333333,,1959,8.73,8.616666667
1960,25.67,25.08166667,,1960,8.58,8.62
1961,25.12,25.04666667,,1961,8.8,8.648333333
1962,26.1,25.22666667,,1962,8.75,8.726666667
1963,25.54,25.36833333,,1963,8.86,8.748333333
1964,25.14,25.285,,1964,8.41,8.688333333
1965,25.59,25.52666667,,1965,8.53,8.655
